data_row_id,match_id,icpsr,bioname,chamber,congress,url,id,docket_id,position,coalition,coalition_type,success,date,first_name,last_name,state,agency,POLICY_EVENT,TYPE,FROM,chair_of,oversight_committee,oversight_committee_chair,EVENT_COMMITTEE,EVENT_NAME,EVENT_DATE,event_url,nominate.dim1,nominate.dim2,party_name,name,party,prepost,Type
000002,000002,40702,"TESTER, Jon",Senate,114,https://www.regulations.gov/comment/ACF-2015-0008-0789,ACF-2015-0008-0789,ACF-2015-0008,NA,NA,NA,NA,2015-09-17,Jon,TESTER,montana,ACF,Rule,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.217,0.137,Democratic Party,Sen. Jon Tester (D-MT),Democratic,"Post-legislation Oversight
(comments on agency rulemaking and appropriations instructions)",To be coded
000064,000003,49300,"FEINSTEIN, Dianne",Senate,114,https://www.regulations.gov/comment/APHIS-2006-0085-0017,APHIS-2006-0085-0017,APHIS-2006-0085,NA,NA,NA,NA,2016-02-04,Dianne,FEINSTEIN,california,APHIS,Rule,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.267,-0.185,Democratic Party,Sen. Dianne Feinstein (D-CA),Democratic,"Post-legislation Oversight
(comments on agency rulemaking and appropriations instructions)",To be coded
000079,000004,29525,"WHITFIELD, Wayne Edward (Ed)",House,114,https://www.regulations.gov/comment/APHIS-2011-0009-4002,APHIS-2011-0009-4002,APHIS-2011-0009,NA,NA,NA,NA,2016-09-01,Wayne,WHITFIELD,kentucky,APHIS,Rule,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.303,0.182,Republican Party,Rep. Wayne Whitfield (R-KY),Republican,"Post-legislation Oversight
(comments on agency rulemaking and appropriations instructions)",To be coded
000080,000005,20750,"WELCH, Peter",House,114,https://www.regulations.gov/comment/APHIS-2011-0009-7631,APHIS-2011-0009-7631,APHIS-2011-0009,NA,NA,NA,NA,2016-09-22,Peter,WELCH,vermont,APHIS,Rule,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.409,-0.351,Democratic Party,Rep. Peter Welch (D-VT),Democratic,"Post-legislation Oversight
(comments on agency rulemaking and appropriations instructions)",To be coded
000081,000006,49300,"FEINSTEIN, Dianne",Senate,114,https://www.regulations.gov/comment/APHIS-2011-0009-8383,APHIS-2011-0009-8383,APHIS-2011-0009,NA,NA,NA,NA,2016-09-27,Dianne,FEINSTEIN,california,APHIS,Rule,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.267,-0.185,Democratic Party,Sen. Dianne Feinstein (D-CA),Democratic,"Post-legislation Oversight
(comments on agency rulemaking and appropriations instructions)",To be coded
000082,000007,29759,"SESSIONS, Pete",House,114,https://www.regulations.gov/comment/APHIS-2011-0044-0172,APHIS-2011-0044-0172,APHIS-2011-0044,NA,NA,NA,NA,2016-05-17,Pete,SESSIONS,texas,APHIS,Rule,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.585,0.174,Republican Party,Rep. Pete Sessions (R-TX),Republican,"Post-legislation Oversight
(comments on agency rulemaking and appropriations instructions)",To be coded
000083,000008,20915,"JENKINS, Lynn",House,114,https://www.regulations.gov/comment/APHIS-2011-0044-0220,APHIS-2011-0044-0220,APHIS-2011-0044,NA,NA,NA,NA,2016-05-24,Lynn,JENKINS,kansas,APHIS,Rule,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.523,0.004,Republican Party,Rep. Lynn Jenkins (R-KS),Republican,"Post-legislation Oversight
(comments on agency rulemaking and appropriations instructions)",To be coded
000085,000009,20305,"GRIJALVA, Raúl M.",House,114,https://www.regulations.gov/comment/APHIS-2012-0107-21495,APHIS-2012-0107-21495,APHIS-2012-0107,NA,NA,NA,NA,2016-09-01,Raul,GRIJALVA,arizona,APHIS,Rule,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.599,-0.256,Democratic Party,Rep. Raul Grijalva (D-AZ),Democratic,"Post-legislation Oversight
(comments on agency rulemaking and appropriations instructions)",To be coded
000090,000010,20713,"HIRONO, Mazie",Senate,114,https://www.regulations.gov/comment/APHIS-2014-0041-0057,APHIS-2014-0041-0057,APHIS-2014-0041,NA,NA,NA,NA,2015-03-26,Mazie,HIRONO,hawaii,APHIS,Rule,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.511,-0.081,Democratic Party,Sen. Mazie Hirono (D-HI),Democratic,"Post-legislation Oversight
(comments on agency rulemaking and appropriations instructions)",To be coded
000091,000011,29777,"BRADY, Robert A.",House,114,https://www.regulations.gov/comment/APHIS-2014-0092-0092,APHIS-2014-0092-0092,APHIS-2014-0092,NA,NA,NA,NA,2016-06-28,Robert,BRADY,pennsylvania,APHIS,Rule,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.484,0.225,Democratic Party,Rep. Robert Brady (D-PA),Democratic,"Post-legislation Oversight
(comments on agency rulemaking and appropriations instructions)",To be coded
